sample_count,real_count,fake_count,predicted_fake_count,accuracy,precision,recall,specificity,f1,auc,threshold,tn,fp,fn,tp,distance_to_0_5
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3149999999999997,0,50,0,50,0.18500000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3139999999999997,0,50,0,50,0.18600000000000028
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3129999999999998,0,50,0,50,0.18700000000000022
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3119999999999998,0,50,0,50,0.18800000000000022
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3109999999999998,0,50,0,50,0.18900000000000022
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3099999999999998,0,50,0,50,0.19000000000000022
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3089999999999998,0,50,0,50,0.19100000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3079999999999998,0,50,0,50,0.19200000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3069999999999998,0,50,0,50,0.19300000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30599999999999977,0,50,0,50,0.19400000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30499999999999977,0,50,0,50,0.19500000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30399999999999977,0,50,0,50,0.19600000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30299999999999977,0,50,0,50,0.19700000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30199999999999977,0,50,0,50,0.19800000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.30099999999999977,0,50,0,50,0.19900000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29999999999999977,0,50,0,50,0.20000000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29899999999999977,0,50,0,50,0.20100000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29799999999999977,0,50,0,50,0.20200000000000023
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29699999999999976,0,50,0,50,0.20300000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29599999999999976,0,50,0,50,0.20400000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29499999999999976,0,50,0,50,0.20500000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29399999999999976,0,50,0,50,0.20600000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29299999999999976,0,50,0,50,0.20700000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29199999999999976,0,50,0,50,0.20800000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.29099999999999976,0,50,0,50,0.20900000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28999999999999976,0,50,0,50,0.21000000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28899999999999976,0,50,0,50,0.21100000000000024
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.28799999999999976,0,50,0,50,0.21200000000000024
